"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
"01029",-23.539608953372944,-46.632910934502824,"sao paulo","SP"
"01006",-23.55031722453689,-46.63660363835193,"sao paulo","SP"
"01038",-23.54434011379765,-46.64055218650821,"sao paulo","SP"
"01018",-23.55184617707312,-46.63375643672454,"sao paulo","SP"
"01022",-23.54779462858564,-46.630237915500864,"sao paulo","SP"
"01027",-23.538609367187988,-46.62956254731953,"sao paulo","SP"
"01012",-23.547677711062466,-46.63514742936695,"sao paulo","SP"
"01019",-23.552015908967608,-46.630931688874114,"sao paulo","SP"
"01041",-23.544084835131894,-46.63978569372154,"sao paulo","SP"
"01003",-23.54890065277865,-46.63715701234924,"sao paulo","SP"
"01002",-23.548551065785627,-46.635072390789965,"sao paulo","SP"
"01015",-23.54797349999999,-46.6334685,"sao paulo","SP"
"01033",-23.536156075768947,-46.63565005635056,"sao paulo","SP"
"01030",-23.53818524562871,-46.632941047175294,"sao paulo","SP"
"01037",-23.545198739792514,-46.637915751037845,"sao paulo","SP"
"01021",-23.548327931444412,-46.63064558589651,"sao paulo","SP"
"01016",-23.54849512877264,-46.63349062767613,"sao paulo","SP"
"01026",-23.53984025062037,-46.6302639919499,"sao paulo","SP"
"01043",-23.54551999362336,-46.64155460090014,"sao paulo","SP"
"01008",-23.547951597005007,-46.637054895637405,"sao paulo","SP"
"01035",-23.540983825979165,-46.64256855760085,"sao paulo","SP"
"01013",-23.547686322234373,-46.6341397692307,"sao paulo","SP"
"01005",-23.54947149598929,-46.63740387774824,"sao paulo","SP"
"01007",-23.55009663558197,-46.637934794477474,"sao paulo","SP"
"01023",-23.543570744936233,-46.632011459057104,"sao paulo","SP"
"01034",-23.541956005539923,-46.63716661394188,"sao paulo","SP"
"01042",-23.54472059810152,-46.640515568959614,"sao paulo","SP"
"01047",-23.54543522286345,-46.64016774216627,"sao paulo","SP"
"01010",-23.547806958346342,-46.636121818538065,"sao paulo","SP"
"01031",-23.542838873997322,-46.63483409602404,"sao paulo","SP"
"01050",-23.54985418067981,-46.643139396906825,"sao paulo","SP"
"01025",-23.53992093654793,-46.628347928793204,"sao paulo","SP"
"01040",-23.544527209169782,-46.643018696461155,"sao paulo","SP"
"01001",-23.54929199999999,-46.633559478233785,"sao paulo","SP"
"01014",-23.545338286427377,-46.63358224756194,"sao paulo","SP"
"01036",-23.540272502625733,-46.643908442956956,"sao paulo","SP"
"01028",-23.53624171663104,-46.6320595335853,"sao paulo","SP"
"01032",-23.541381136274453,-46.63552281556929,"sao paulo","SP"
"01039",-23.5417538351319,-46.63976074078128,"sao paulo","SP"
"01024",-23.54067451306043,-46.629660446257496,"sao paulo","SP"
"01011",-23.546690486964888,-46.6354469588072,"sao paulo","SP"
"01045",-23.54230306549716,-46.64280268887412,"sao paulo","SP"
"01004",-23.549530033585306,-46.634628331669425,"sao paulo","SP"
"01044",-23.545698024698506,-46.64135941020835,"sao paulo","SP"
"01017",-23.548747379681483,-46.63222267678466,"sao paulo","SP"
"01048",-23.547547918662467,-46.64068682445608,"sao paulo","SP"
"01009",-23.54569153926945,-46.63586606148645,"sao paulo","SP"
"01049",-23.54775736886144,-46.64035090161002,"sao paulo","SP"
"01020",-23.552533361648077,-46.62960898251487,"sao paulo","SP"
"01046",-23.545368575913177,-46.64318283002467,"sao paulo","SP"
"01142",-23.519934305152642,-46.6251300217966,"sao paulo","SP"
"01101",-23.525050725229374,-46.631222124761926,"sao paulo","SP"
"01108",-23.532131979486646,-46.62610017872921,"sao paulo","SP"
"01121",-23.530335768249742,-46.63615157423974,"sao paulo","SP"
"01132",-23.521493546482816,-46.64977797847548,"sao paulo","SP"
"01104",-23.53500886427381,-46.62963536441802,"sao paulo","SP"
"01105",-23.53361970941767,-46.62801764293956,"sao paulo","SP"
"01106",-23.532496356079488,-46.62640566388715,"sao paulo","SP"
"01136",-23.522888314472766,-46.66401556855558,"sao paulo","SP"
"01150",-23.532869493479122,-46.6574641552888,"sao paulo","SP"
"01126",-23.526802792111525,-46.64022447169482,"sao paulo","SP"
"01107",-23.528933486814037,-46.62717387010217,"sao paulo","SP"
"01128",-23.525099843181966,-46.63953269761668,"sao paulo","SP"
"01154",-23.53114748681403,-46.66158609714922,"sao paulo","SP"
"01140",-23.51743977462639,-46.67461056535293,"sao paulo","SP"
"01138",-23.52198252178432,-46.65542369608747,"sao paulo","SP"
"01120",-23.532108255063783,-46.63839470107914,"sao paulo","SP"
"01102",-23.522610216486807,-46.62942387523807,"sao paulo","SP"
"01130",-23.523262176524874,-46.64564622191117,"sao paulo","SP"
"01123",-23.529564261728872,-46.63734722799934,"sao paulo","SP"
"01144",-23.522071997230046,-46.67368155773555,"sao paulo","SP"
"01122",-23.531952971406355,-46.64002553482605,"sao paulo","SP"
"01156",-23.530860398003334,-46.663429368861436,"sao paulo","SP"
"01125",-23.526135376911522,-46.64048959423503,"sao paulo","SP"
"01103",-23.535453394396647,-46.631706291563255,"sao paulo","SP"
"01133",-23.518811975301496,-46.65469802775692,"sao paulo","SP"
"01152",-23.532609593398323,-46.65333208104907,"sao paulo","SP"
"01127",-23.526483537884477,-46.638956362888834,"sao paulo","SP"
"01153",-23.52810758174155,-46.65394803649948,"sao paulo","SP"
"01135",-23.527010132293896,-46.65033378992915,"sao paulo","SP"
"01155",-23.529072721354318,-46.663010095595986,"sao paulo","SP"
"01139",-23.518892512926165,-46.67646035734891,"sao paulo","SP"
"01134",-23.51867680707737,-46.6531159131789,"sao paulo","SP"
"01131",-23.52164183207347,-46.64747554830047,"sao paulo","SP"
"01109",-23.523490980841423,-46.626845500692504,"sao paulo","SP"
"01141",-23.519291699694147,-46.66571964308378,"sao paulo","SP"
"01137",-23.523137474897453,-46.65373091035257,"sao paulo","SP"
"01151",-23.531294001384982,-46.656404093946584,"sao paulo","SP"
"01124",-23.52974745767212,-46.634172495152576,"sao paulo","SP"
"01189",-23.532108255063783,-46.63839470107914,"sao paulo","SP"
"01129",-23.524372634196983,-46.64743213627446,"sao paulo","SP"
"01200",-23.53156777324141,-46.649869077846425,"sao paulo","SP"
"01262",-23.550856391462712,-46.67735184892536,"sao paulo","SP"
"01290",-23.54096134139296,-46.65774870275258,"sao paulo","SP"
"01237",-23.54243125189645,-46.668841351182564,"sao paulo","SP"
"01253",-23.544687097350568,-46.67914691801201,"sao paulo","SP"
"01247",-23.549610237030365,-46.67083426256561,"sao paulo","SP"
